# division directionality movement
0.000000000000000000e+00 5.783277753367784824e-01 1.012071970137824739e-01
1.000000000000000000e+00 3.932737725860914413e+00 1.102509734699004124e-01
0.000000000000000000e+00 1.113871323554795234e+00 4.114446419870835397e-02
0.000000000000000000e+00 7.773704704923277697e-01 9.816027386452083614e-02
0.000000000000000000e+00 6.784843779857998136e+00 2.144249680311425266e-01
2.000000000000000000e+00 5.378000240627446971e+00 1.402579031252656205e-01
1.000000000000000000e+00 3.055623145456886736e+00 1.124454884320305603e-01
0.000000000000000000e+00 7.098597005455978444e-03 2.406156064200244953e-03
6.000000000000000000e+00 4.615365113898902472e+00 1.185581087046311682e-01
1.000000000000000000e+00 4.197160361057873601e+00 1.431963292124279474e-01
3.000000000000000000e+00 1.152823596656014793e+01 2.494011757838375531e-01
1.000000000000000000e+00 3.098509041903641403e+00 1.352548582681303846e-01
4.000000000000000000e+00 4.859854987848910568e+00 1.592739108519067026e-01
2.000000000000000000e+00 7.865152374445090189e+00 1.688895835770102494e+00
1.000000000000000000e+01 1.973192469722823583e+00 7.620043626156129957e-01
1.000000000000000000e+00 6.510019859628838113e+00 1.240889417844118353e-01
2.000000000000000000e+00 9.229149025562779940e+00 5.216188178522589425e-01
0.000000000000000000e+00 5.609088946890085359e-02 9.469039963368305543e-03
0.000000000000000000e+00 5.150988202344486400e-01 5.453672853336453269e-02
1.000000000000000000e+00 6.329056744865645401e-01 7.210688282919462677e-02
1.000000000000000000e+00 3.332356107596625261e+00 1.376711184926069920e-01
1.000000000000000000e+00 7.128449682161850376e+00 1.048937473312793855e+00
1.000000000000000000e+00 4.559827544444874370e+00 1.435897692128948744e-01
2.000000000000000000e+00 1.349042049237933227e+01 4.694378845423388125e-01
2.000000000000000000e+00 7.788165788116492294e+00 3.021529028118411508e-01
3.000000000000000000e+00 5.903225805897457157e+00 9.026830338559428679e-02
7.000000000000000000e+00 3.429763536327974816e+00 8.534734998105744652e-02
7.000000000000000000e+00 5.613887623268065674e+00 4.205989177256652112e-01
1.000000000000000000e+00 4.825938101986375628e+00 3.197759404864455757e+00
0.000000000000000000e+00 2.583978757395954506e+00 1.793817080397311914e-01
0.000000000000000000e+00 9.107328376891906885e+00 2.738955649678991855e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 7.840814022810802086e+00 3.049319175411102645e-01
5.000000000000000000e+00 2.741920023305291831e+00 8.060749208541026500e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 5.099980734632872270e+00 1.033107014061397516e-01
2.000000000000000000e+00 1.185007850663465767e+01 5.184662842410951988e-01
0.000000000000000000e+00 1.730874020683210723e+00 9.691994022998286218e-02
0.000000000000000000e+00 4.639306968868271319e+00 1.294882206888725851e-01
4.000000000000000000e+00 4.288968370152770326e+00 7.656025820488172873e-02
0.000000000000000000e+00 2.881876996889348508e+00 1.057258222302062123e-01
0.000000000000000000e+00 5.599897839009869038e+00 1.166037085270151541e-01
2.000000000000000000e+00 1.268671457971852234e+01 1.711792361507162852e-01
5.000000000000000000e+00 2.119005103890607256e+00 3.092929720868028420e-01
4.000000000000000000e+00 8.302966452607071446e+00 1.350542519916241857e-01
1.000000000000000000e+00 1.234401347677483551e+00 6.099562077280585443e-02
4.000000000000000000e+00 7.596720917924571381e+00 1.335289769098614965e+00
0.000000000000000000e+00 6.374651886141114998e-01 5.102738982686380598e-02
0.000000000000000000e+00 8.509448497179233684e+00 3.010993887969428129e-01
0.000000000000000000e+00 1.726736926096225311e+00 6.097877963329509376e-02
1.000000000000000000e+01 2.470202879185666056e+00 8.332870753163050814e-01
0.000000000000000000e+00 3.565884825847422057e+00 8.409924753739823899e-02
0.000000000000000000e+00 4.146983135603488080e+00 2.193510172237252143e-01
0.000000000000000000e+00 5.501408777238857795e+00 2.489075431708435981e-01
0.000000000000000000e+00 1.937954721593019292e+00 1.342323109386801272e-01
0.000000000000000000e+00 2.435146254896770834e+00 5.194209749844719282e-02
2.000000000000000000e+00 6.284613794391305852e+00 1.095606886249484990e-01
0.000000000000000000e+00 1.568655005611301556e+00 5.373258383455620929e-02
0.000000000000000000e+00 7.091724444055540921e+00 2.573038049344433253e-01
1.000000000000000000e+00 9.427198370764452662e+00 2.802689794128117029e-01
2.000000000000000000e+00 7.842339139287092031e+00 1.319634359310254690e-01
1.000000000000000000e+00 5.301627052440498922e+00 3.268754219613577150e-01
4.000000000000000000e+00 1.323779480583771928e+00 3.663857840360744689e-01
3.000000000000000000e+00 1.886835455929305638e+01 2.207030996662030786e-01
0.000000000000000000e+00 3.168518112977072310e+00 1.349813575770576757e-01
5.000000000000000000e+00 2.810122948070626236e+00 1.252358726397223287e-01
2.000000000000000000e+00 5.728908763560332851e+00 1.548723392308750946e-01
1.000000000000000000e+00 9.044226084719959147e+00 8.448175117313349025e-01
1.000000000000000000e+00 7.433833615511834303e+00 2.824187176109396735e-01
0.000000000000000000e+00 4.316453430280479786e+00 1.017155321404727558e-01
2.000000000000000000e+00 1.526830385333018114e+01 2.007296749142586656e-01
1.000000000000000000e+00 8.839826283880023894e+00 1.273082481396288435e+00
1.000000000000000000e+00 6.650729527129086716e-01 7.330218254528228505e-02
0.000000000000000000e+00 4.034129418486366525e+00 3.008058236128784424e-01
0.000000000000000000e+00 2.009666505145196957e+00 4.862619035881081409e-02
1.000000000000000000e+00 1.452655870540809424e+01 1.699771321526692136e-01
0.000000000000000000e+00 5.433310756889517812e-01 1.359867439636469610e-02
1.500000000000000000e+01 2.259411842898111811e+00 4.567564577110129198e-01
0.000000000000000000e+00 4.803198193915116043e+00 1.182408817340123985e-01
1.000000000000000000e+00 3.599560794344567327e+00 1.030330660562090300e-01
1.000000000000000000e+00 2.867234134251767763e+00 1.437874208711592272e-01
4.000000000000000000e+00 9.485143524999967823e+00 1.949321445294731336e-01
0.000000000000000000e+00 2.103519670056415158e+00 6.167737792416735226e-02
2.000000000000000000e+00 1.114434179968159810e+01 1.477638864919081918e-01
1.000000000000000000e+00 2.301900724634812878e+00 1.200796165862430126e-01
2.000000000000000000e+00 1.231004073018173450e+01 8.708682525762075910e-01
3.000000000000000000e+00 1.039428864230346861e+01 1.453739615751033221e-01
4.000000000000000000e+00 9.357004755927963657e+00 1.532347826316747263e-01
1.000000000000000000e+00 6.222824654100240771e+00 2.056076995983674438e-01
3.000000000000000000e+00 1.001446692881924427e+01 2.403874429004507762e-01
1.000000000000000000e+00 3.172828710815059683e+00 1.287852701972119485e-01
1.000000000000000000e+00 2.503247065982422193e+00 1.375747948285222177e+00
5.000000000000000000e+00 1.304176420460246888e+01 7.422272205272487655e-01
1.000000000000000000e+00 4.449578180935077398e+00 1.582295547817895720e-01
1.000000000000000000e+00 5.688854482933859424e-01 1.071975657288043449e-02
5.000000000000000000e+00 3.144496159012284853e+00 1.423212340367990825e-01
0.000000000000000000e+00 4.412136319372526039e-01 2.154889440318737484e-02
4.000000000000000000e+00 1.414799974199445742e+01 4.221672888404617296e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 3.935148061982831180e+00 9.258372525208508064e-02
1.000000000000000000e+00 1.376386881116480776e+00 7.089722891741999378e-02
0.000000000000000000e+00 2.165328789311060209e+00 1.511645157570839226e-01
0.000000000000000000e+00 3.949890889603959288e+00 1.527662129616043640e-01
3.000000000000000000e+00 4.660690336845070725e+00 3.188182240125168043e-01
2.000000000000000000e+00 8.508459433995250620e+00 3.221082525848161793e-01
1.000000000000000000e+01 2.113103329616385473e+00 4.106110086344775811e-01
