# dep octanol octanoic pentanol
1.752577319587628746e-01 2.577319587628865705e-01 2.680412371134020533e-01 2.989690721649483907e-01
3.367346938775510612e-01 3.571428571428571508e-01 8.163265306122449716e-02 2.244897959183673464e-01
4.226804123711340178e-01 3.505154639175258047e-01 1.752577319587629023e-01 5.154639175257732381e-02
1.546391752577319367e-01 3.092783505154638735e-01 3.917525773195876249e-01 1.443298969072165094e-01
4.226804123711340178e-01 3.505154639175258047e-01 1.752577319587629023e-01 5.154639175257732381e-02
1.326530612244897767e-01 2.244897959183673186e-01 7.142857142857142461e-02 5.714285714285713969e-01
1.122448979591836593e-01 3.163265306122448606e-01 7.142857142857142461e-02 4.999999999999999445e-01
1.546391752577319367e-01 3.092783505154638735e-01 3.917525773195876249e-01 1.443298969072165094e-01
1.752577319587628746e-01 2.577319587628865705e-01 2.680412371134020533e-01 2.989690721649483907e-01
1.919191919191919338e-01 2.828282828282828731e-01 7.070707070707071829e-02 4.545454545454545858e-01
3.877551020408163129e-01 1.632653061224489943e-01 3.775510204081632404e-01 7.142857142857143848e-02
2.424242424242424310e-01 4.545454545454545858e-01 3.030303030303030387e-02 2.727272727272727626e-01
1.122448979591836593e-01 3.163265306122448606e-01 7.142857142857142461e-02 4.999999999999999445e-01
4.387755102040816202e-01 3.571428571428571508e-01 1.836734693877551117e-01 2.040816326530612429e-02
1.326530612244897767e-01 2.244897959183673186e-01 7.142857142857142461e-02 5.714285714285713969e-01
3.877551020408163129e-01 1.632653061224489943e-01 3.775510204081632404e-01 7.142857142857143848e-02
1.919191919191919338e-01 2.828282828282828731e-01 7.070707070707071829e-02 4.545454545454545858e-01
2.424242424242424310e-01 4.545454545454545858e-01 3.030303030303030387e-02 2.727272727272727626e-01
3.367346938775510612e-01 3.571428571428571508e-01 8.163265306122449716e-02 2.244897959183673464e-01
4.387755102040816202e-01 3.571428571428571508e-01 1.836734693877551117e-01 2.040816326530612429e-02
2.727272727272727626e-01 2.626262626262626521e-01 3.333333333333333703e-01 1.313131313131313260e-01
1.530612244897958940e-01 4.081632653061224164e-02 4.285714285714284921e-01 3.775510204081632404e-01
2.959183673469387710e-01 3.877551020408163129e-01 5.102040816326530726e-02 2.653061224489796088e-01
2.755102040816326259e-01 1.632653061224489666e-01 3.367346938775510057e-01 2.244897959183673186e-01
2.142857142857143016e-01 8.163265306122449716e-02 3.673469387755102233e-01 3.367346938775510612e-01
1.734693877551020391e-01 0.000000000000000000e+00 4.591836734693877098e-01 3.673469387755101678e-01
2.551020408163265363e-01 1.836734693877551117e-01 2.755102040816326814e-01 2.857142857142857539e-01
2.959183673469387710e-01 3.877551020408163129e-01 5.102040816326530726e-02 2.653061224489796088e-01
2.040816326530612290e-01 4.387755102040816202e-01 4.081632653061224858e-02 3.163265306122449161e-01
2.755102040816326259e-01 1.632653061224489666e-01 3.367346938775510057e-01 2.244897959183673186e-01
2.727272727272727626e-01 2.626262626262626521e-01 3.333333333333333703e-01 1.313131313131313260e-01
1.212121212121212155e-01 2.525252525252525415e-01 3.333333333333333703e-01 2.929292929292929282e-01
1.530612244897958940e-01 4.081632653061224164e-02 4.285714285714284921e-01 3.775510204081632404e-01
1.734693877551020391e-01 0.000000000000000000e+00 4.591836734693877098e-01 3.673469387755101678e-01
2.142857142857143016e-01 8.163265306122449716e-02 3.673469387755102233e-01 3.367346938775510612e-01
2.551020408163265363e-01 1.836734693877551117e-01 2.755102040816326814e-01 2.857142857142857539e-01
1.616161616161616021e-01 4.444444444444444198e-01 3.131313131313130937e-01 8.080808080808080107e-02
1.212121212121212155e-01 2.525252525252525415e-01 3.333333333333333703e-01 2.929292929292929282e-01
1.616161616161616021e-01 4.444444444444444198e-01 3.131313131313130937e-01 8.080808080808080107e-02
2.040816326530612290e-01 4.387755102040816202e-01 4.081632653061224858e-02 3.163265306122449161e-01
3.673469387755102233e-01 2.448979591836734637e-01 1.020408163265306145e-01 2.857142857142857539e-01
2.626262626262626521e-01 4.444444444444444753e-01 3.030303030303030387e-02 2.626262626262626521e-01
4.489795918367346927e-01 3.061224489795918297e-02 4.285714285714285476e-01 9.183673469387755584e-02
4.226804123711340178e-01 3.505154639175258047e-01 1.752577319587629023e-01 5.154639175257732381e-02
2.653061224489796088e-01 3.163265306122449161e-01 9.183673469387755584e-02 3.265306122448979886e-01
2.448979591836734637e-01 3.367346938775510612e-01 3.571428571428571508e-01 6.122448979591836593e-02
2.959183673469387710e-01 8.163265306122449716e-02 8.163265306122449716e-02 5.408163265306122902e-01
2.244897959183673464e-01 2.551020408163265363e-01 4.285714285714285476e-01 9.183673469387755584e-02
2.551020408163265363e-01 2.653061224489796088e-01 2.346938775510204189e-01 2.448979591836734637e-01
2.551020408163265363e-01 2.653061224489796088e-01 2.346938775510204189e-01 2.448979591836734637e-01
4.489795918367346927e-01 3.061224489795918297e-02 4.285714285714285476e-01 9.183673469387755584e-02
3.333333333333333703e-01 1.515151515151515194e-01 3.030303030303030387e-02 4.848484848484848619e-01
3.333333333333333703e-01 1.515151515151515194e-01 3.030303030303030387e-02 4.848484848484848619e-01
2.448979591836734637e-01 3.367346938775510612e-01 3.571428571428571508e-01 6.122448979591836593e-02
2.040816326530612290e-01 4.285714285714285476e-01 4.081632653061224858e-02 3.265306122448979886e-01
3.673469387755102233e-01 2.448979591836734637e-01 1.020408163265306145e-01 2.857142857142857539e-01
3.775510204081632404e-01 1.632653061224489666e-01 2.857142857142856984e-01 1.734693877551020391e-01
1.632653061224489666e-01 5.612244897959183243e-01 2.551020408163264808e-01 2.040816326530612082e-02
2.244897959183673464e-01 3.367346938775510612e-01 0.000000000000000000e+00 4.387755102040816202e-01
1.855670103092783574e-01 7.216494845360825472e-02 4.226804123711340178e-01 3.195876288659794118e-01
5.306122448979592177e-01 3.061224489795918297e-02 3.061224489795918435e-01 1.326530612244898044e-01
1.212121212121212016e-01 3.434343434343434254e-01 2.929292929292928727e-01 2.424242424242424032e-01
1.212121212121212016e-01 3.434343434343434254e-01 2.929292929292928727e-01 2.424242424242424032e-01
1.632653061224489666e-01 5.612244897959183243e-01 2.551020408163264808e-01 2.040816326530612082e-02
2.653061224489796088e-01 3.163265306122449161e-01 9.183673469387755584e-02 3.265306122448979886e-01
2.755102040816326814e-01 2.653061224489796088e-01 2.959183673469387710e-01 1.632653061224489943e-01
5.306122448979592177e-01 3.061224489795918297e-02 3.061224489795918435e-01 1.326530612244898044e-01
1.958762886597938124e-01 2.886597938144330189e-01 1.030927835051546476e-01 4.123711340206185905e-01
2.142857142857142738e-01 3.265306122448979886e-01 3.061224489795918435e-01 1.530612244897959218e-01
7.142857142857143848e-02 1.530612244897959218e-01 3.979591836734693855e-01 3.775510204081632404e-01
2.142857142857142738e-01 2.755102040816326814e-01 1.122448979591836732e-01 3.979591836734693855e-01
2.142857142857142738e-01 4.183673469387754751e-01 2.959183673469387710e-01 7.142857142857143848e-02
2.040816326530612290e-01 4.285714285714285476e-01 4.081632653061224858e-02 3.265306122448979886e-01
2.755102040816326814e-01 2.653061224489796088e-01 2.959183673469387710e-01 1.632653061224489943e-01
1.632653061224489666e-01 2.959183673469387155e-01 3.775510204081632404e-01 1.632653061224489666e-01
4.226804123711340178e-01 3.505154639175258047e-01 1.752577319587629023e-01 5.154639175257732381e-02
1.855670103092783574e-01 7.216494845360825472e-02 4.226804123711340178e-01 3.195876288659794118e-01
7.142857142857143848e-02 1.530612244897959218e-01 3.979591836734693855e-01 3.775510204081632404e-01
2.626262626262626521e-01 4.444444444444444753e-01 3.030303030303030387e-02 2.626262626262626521e-01
1.958762886597938124e-01 2.886597938144330189e-01 1.030927835051546476e-01 4.123711340206185905e-01
2.244897959183673464e-01 2.551020408163265363e-01 4.285714285714285476e-01 9.183673469387755584e-02
2.857142857142857539e-01 3.265306122448979886e-01 2.346938775510204189e-01 1.530612244897959218e-01
2.142857142857142738e-01 4.183673469387754751e-01 2.959183673469387710e-01 7.142857142857143848e-02
