# division directionality movement
2.000000000000000000e+00 7.411264642958633964e+00 4.376579019870686649e-01
0.000000000000000000e+00 6.137014564161670904e+00 2.532605868540995231e-01
5.000000000000000000e+00 4.987729996383345465e+00 3.181122719142837063e-01
1.000000000000000000e+00 7.176504637746911719e+00 3.369995928609432756e-01
2.000000000000000000e+00 8.173998598349466960e+00 3.613169997726724536e-01
0.000000000000000000e+00 1.018011892361913695e+00 4.839602834290041011e-02
0.000000000000000000e+00 8.131493943490578635e-01 3.369996938670321435e-02
0.000000000000000000e+00 2.077907606315183120e+00 1.253868661785814409e-01
0.000000000000000000e+00 5.605998168796922698e+00 1.939949101482048854e-01
1.000000000000000000e+00 4.660999418248635173e+00 1.588695111802617133e-01
6.000000000000000000e+00 3.146938033917475508e+00 5.363229069152919415e-01
2.000000000000000000e+00 5.402111688085210695e+00 6.287138620505302589e-01
0.000000000000000000e+00 4.236925005374880371e+00 1.859868607085571335e-01
3.000000000000000000e+00 7.030397170229998771e+00 4.931880657570636428e-01
0.000000000000000000e+00 1.631209060027563940e+00 7.850374632500548011e-02
5.000000000000000000e+00 4.854248109698969138e+00 3.991940922626107113e-01
0.000000000000000000e+00 7.645213380821724858e-01 5.131874195683280848e-02
1.000000000000000000e+00 5.416410919488076736e+00 9.823359077065433320e-01
1.000000000000000000e+00 9.885186333222353738e+00 6.261670447579952281e-01
4.000000000000000000e+00 6.673349646533245583e+00 3.002147309604895620e-01
6.000000000000000000e+00 3.136079271121044343e+00 1.815275744179948580e-01
3.000000000000000000e+00 6.152058454831770717e+00 9.107752753673684643e-01
9.000000000000000000e+00 4.735651779201545786e+00 1.949969861834088380e+00
0.000000000000000000e+00 2.601856715301036349e+00 1.907696800913072921e-01
0.000000000000000000e+00 5.877729599483299872e+00 8.361944095701816515e-01
3.000000000000000000e+00 7.867431613644843225e+00 1.085099428307392921e+00
1.000000000000000000e+00 9.295159228096030901e+00 4.550764274147119370e-01
1.200000000000000000e+01 2.134560088563318470e+00 1.483458920162943340e+00
0.000000000000000000e+00 4.834307452079033673e+00 2.478810562279983865e-01
3.000000000000000000e+00 6.178503276651587939e+00 4.219843124291380310e-01
0.000000000000000000e+00 4.609962526086813561e+00 2.350352851771668472e-01
0.000000000000000000e+00 7.297773206587614858e+00 3.239023652245408003e-01
1.000000000000000000e+00 2.529620681568528262e+00 6.530166266246715256e-01
4.000000000000000000e+00 7.972083052599573172e+00 6.865327366150534294e-01
6.000000000000000000e+00 3.385202149353122358e+00 3.844660579083068463e-01
5.000000000000000000e+00 4.427531723131638230e+00 2.718608207594045423e-01
0.000000000000000000e+00 5.379572810228441249e-01 1.220939748089996599e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.101769467063534513e+00 3.661213407508681628e-01
8.000000000000000000e+00 3.917647807079037481e+00 1.789493059510709250e+00
6.000000000000000000e+00 6.878278018039805097e+00 2.619669550598173746e-01
3.000000000000000000e+00 4.853505295436564282e+00 1.509550077746340868e+00
7.000000000000000000e+00 2.844877877903266850e+00 4.064515501015401044e-01
3.000000000000000000e+00 4.951884325197559278e+00 4.664177643367102832e-01
1.000000000000000000e+00 3.088275394075895797e+00 1.319599212382703279e-01
2.000000000000000000e+00 2.354400294919202441e+00 1.206097936415657657e-01
4.000000000000000000e+00 9.200418319223222952e+00 9.473618133484675852e-01
1.000000000000000000e+00 4.358832517034681331e+00 2.403537600181298861e-01
0.000000000000000000e+00 2.106228328081807266e-01 2.569772868920255221e-02
0.000000000000000000e+00 2.254012603804274928e+00 9.568696806648220587e-02
8.000000000000000000e+00 2.230282264276932214e+00 3.309670396727091291e-01
1.000000000000000000e+01 8.130436538528634571e+00 1.690602323737390833e+00
2.000000000000000000e+00 8.990554450078715121e+00 1.493586838435049469e+00
0.000000000000000000e+00 5.136429230502735699e+00 2.755267857763988304e-01
2.000000000000000000e+00 7.566517131285046993e+00 6.540884794584711504e-01
2.000000000000000000e+00 1.002069671962486908e+01 4.675308722880389678e-01
7.000000000000000000e+00 3.859348359724835476e+00 3.409013791293789009e-01
0.000000000000000000e+00 4.185642811909129790e+00 2.338834261626169253e-01
4.000000000000000000e+00 3.209973071524452326e+00 1.793497479716055776e-01
2.000000000000000000e+00 7.418947776690121287e+00 7.164350478882002271e-01
6.000000000000000000e+00 3.218009433396217034e+00 4.404408773198883464e-01
0.000000000000000000e+00 3.023267868160259386e+00 9.618273615394511145e-02
0.000000000000000000e+00 4.135979324421343861e+00 1.465939158491375571e-01
3.000000000000000000e+00 6.498462848645174539e+00 3.046034025917096488e-01
1.000000000000000000e+00 7.207266346574031424e+00 3.085228581357167266e-01
0.000000000000000000e+00 4.888405239374209010e+00 3.250876471002066004e-01
6.000000000000000000e+00 2.574841713747997751e+00 4.109079979715958286e-01
1.000000000000000000e+00 1.029211798556778135e+01 4.818405649120126588e-01
0.000000000000000000e+00 3.165306887483567699e+00 1.698831099563788416e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.171756760482004056e+00 4.965695457330770307e-02
1.000000000000000000e+00 5.410625056244688480e+00 2.924861266413655847e-01
3.000000000000000000e+00 7.645169402405694647e+00 2.878867336188054571e-01
0.000000000000000000e+00 4.789005620083162107e+00 2.674720508388567231e-01
0.000000000000000000e+00 2.788752546366378926e+00 2.138882183441075113e-01
4.000000000000000000e+00 8.787617886467357309e+00 4.909531716187038874e-01
1.000000000000000000e+00 5.709196381849148239e+00 5.458608885267445254e-01
1.000000000000000000e+00 5.186059114875487097e+00 3.064890389504040802e-01
4.000000000000000000e+00 5.614849167915838990e+00 2.057183785082547234e-01
1.000000000000000000e+00 5.543118984403514915e+00 2.008209252333628958e-01
1.000000000000000000e+00 6.044942320762650034e+00 2.910356431878098893e-01
0.000000000000000000e+00 4.338070150913480916e+00 2.876590416690085195e-01
0.000000000000000000e+00 1.649968043354901104e+00 6.279160454205927333e-02
0.000000000000000000e+00 9.883867372271780694e-01 4.424619060119917846e-02
3.000000000000000000e+00 3.632490673993000296e+00 8.034519503548435970e-02
2.000000000000000000e+00 5.548358262559433207e+00 4.192180478922042375e-01
0.000000000000000000e+00 2.927737301941347070e+00 1.132031426461736906e-01
3.000000000000000000e+00 6.087300437811948406e+00 5.926225694053000037e-01
0.000000000000000000e+00 3.567128293119576465e+00 3.519983953238285945e-01
0.000000000000000000e+00 5.217830773219415796e+00 2.743786155588283648e-01
1.000000000000000000e+00 8.868154140624776360e+00 4.841277656260404294e-01
2.000000000000000000e+00 1.013620634963115030e+01 6.927968163264577317e-01
8.000000000000000000e+00 2.982401739310756028e+00 7.685397663873788643e-01
0.000000000000000000e+00 3.309062003076790326e+00 1.655634522294852362e-01
2.000000000000000000e+00 1.233686638200940955e+01 5.120035793312512906e-01
0.000000000000000000e+00 1.714785436708062161e+00 8.070081650950419738e-02
1.000000000000000000e+00 7.560832398876669025e+00 9.753715703734536779e-01
0.000000000000000000e+00 9.979093848573952208e-01 7.445041851978193015e-02
2.000000000000000000e+00 8.279489290967021020e+00 5.121842431628611525e-01
0.000000000000000000e+00 6.768479422156185699e+00 3.479373461229316455e-01
1.200000000000000000e+01 2.039087263228035685e+00 8.474218005560771871e-01
0.000000000000000000e+00 4.110448448747000327e+00 2.964645373157949737e-01
0.000000000000000000e+00 4.315583498885610325e+00 2.537440820786626694e-01
1.000000000000000000e+00 9.442165425169424253e+00 2.691235259085784648e-01
1.000000000000000000e+00 2.000154708377108292e+00 1.129223372100637973e-01
0.000000000000000000e+00 5.440448017925045399e+00 1.563269472602372701e-01
0.000000000000000000e+00 1.041438913990053283e+00 2.957503385110689734e-02
2.000000000000000000e+00 1.186085972520595355e+01 1.553370168880725266e-01
2.000000000000000000e+00 7.941520908938512591e+00 1.281464376671532235e-01
0.000000000000000000e+00 8.879290158958692558e+00 1.178913755982936351e+00
1.000000000000000000e+00 2.535515756609085347e+00 1.108067350289484998e-01
2.000000000000000000e+00 1.010708902292535072e+01 2.289660424743653167e+00
1.000000000000000000e+00 5.716392199311778555e+00 4.429482203781336946e-01
3.000000000000000000e+00 6.522366736316183911e+00 5.287825978707031416e-01
0.000000000000000000e+00 4.068259694912223168e+00 2.136328380858798226e-01
1.000000000000000000e+00 5.833665321833890083e+00 4.394259464534867043e-01
4.000000000000000000e+00 4.858618566090398438e+00 6.354383063634562179e-01
4.000000000000000000e+00 5.779182546770798012e+00 4.393708271705425994e-01
0.000000000000000000e+00 3.469379615977216780e+00 1.297370388294181998e-01
3.000000000000000000e+00 1.053487562117570242e+01 6.510544562514034572e-01
0.000000000000000000e+00 3.837977005774705908e-01 4.678968027917602968e-02
2.000000000000000000e+00 8.577560862154458121e+00 1.467665339898111265e-01
3.000000000000000000e+00 5.301917873802535652e+00 7.582604407494611953e-01
2.000000000000000000e+00 9.089104790810148771e+00 1.675901760745885483e+00
1.000000000000000000e+00 8.280150058060227636e+00 1.160586436630462348e+00
0.000000000000000000e+00 1.860956870574443922e-01 6.560378115830709997e-03
1.000000000000000000e+00 8.724769817886633305e+00 3.520125366008423629e-01
0.000000000000000000e+00 2.539379432845051632e+00 2.495737646750922079e-01
1.000000000000000000e+00 3.095420971576076763e+00 2.975772682051293638e-01
0.000000000000000000e+00 5.959532214122911675e+00 3.522412097924077501e-01
0.000000000000000000e+00 2.759295379738537335e+00 2.358863632509120012e-01
1.300000000000000000e+01 1.560910261719949066e+00 7.396178850147387962e-01
0.000000000000000000e+00 8.620164871292975706e-01 6.376646969093432982e-02
0.000000000000000000e+00 7.328081365958452942e+00 2.663134959470790375e-01
2.000000000000000000e+00 9.886774433667653739e+00 1.513016174429724359e+00
2.000000000000000000e+00 6.603875232277957252e+00 3.598430078560024836e-01
6.000000000000000000e+00 6.551943469910516349e+00 1.567407092446004846e+00
1.100000000000000000e+01 3.185960331249800159e+00 1.296245170927474266e+00
7.000000000000000000e+00 2.968676863883278116e+00 2.295201072169890388e-01
0.000000000000000000e+00 6.821935442814083039e+00 1.811141700018760459e-01
1.200000000000000000e+01 3.685345812844474267e+00 5.971070832092542080e-01
0.000000000000000000e+00 1.202841793598864006e+00 8.155637422046162210e-02
1.000000000000000000e+00 9.006873245682408324e+00 2.079792676738989154e+00
1.000000000000000000e+00 4.657717182364907949e+00 2.878185739238946494e-01
2.000000000000000000e+00 5.845881198366110532e+00 1.562326800634197932e+00
0.000000000000000000e+00 1.054685684126779321e+00 7.836821529904586248e-02
8.000000000000000000e+00 6.087533685884293000e+00 9.934832213358099073e-01
0.000000000000000000e+00 3.779079428092446236e+00 4.756685946364316853e-01
7.000000000000000000e+00 3.291427698781496769e+00 4.908385279624066233e-01
1.000000000000000000e+00 3.110417274943201082e+00 3.087533871276090247e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 1.103601794471729391e+01 1.059427296585889744e+00
3.000000000000000000e+00 9.401580428709813475e+00 9.139164337961400708e-01
2.000000000000000000e+00 5.057472068243140662e+00 1.081855337476403500e+00
3.000000000000000000e+00 5.453918849477315867e+00 4.248012492216526881e-01
0.000000000000000000e+00 2.134352578667834788e+00 7.591403888304792957e-02
0.000000000000000000e+00 2.505290438752648452e+00 3.784957730603930592e-01
0.000000000000000000e+00 8.047920757226716404e-01 3.218532842136195143e-02
2.000000000000000000e+00 3.016691710526036463e+00 1.655997642588447616e-01
0.000000000000000000e+00 4.333551135720501435e+00 6.185769938387801758e-01
0.000000000000000000e+00 5.796827943911902814e+00 2.127255146891839643e-01
1.000000000000000000e+00 8.085253307462397787e-01 1.200770437611719255e-01
2.000000000000000000e+00 3.451180481075299067e+00 3.494684895197353036e-01
0.000000000000000000e+00 8.715168704118825715e+00 2.653461845638482308e-01
0.000000000000000000e+00 1.923415705861206249e+00 1.778956540708524492e-01
0.000000000000000000e+00 2.979171237749192347e+00 8.782744140200227090e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.374234410513346161e-01 4.027334306881748260e-02
4.000000000000000000e+00 7.282782279489843802e+00 1.951675399327262861e+00
1.200000000000000000e+01 2.821844774707262360e+00 1.334215699087621276e+00
2.000000000000000000e+00 4.640971187158998035e+00 1.687816539433650842e-01
5.000000000000000000e+00 8.926489587948539750e+00 9.773567041272306355e-01
0.000000000000000000e+00 1.317832299152902120e+00 5.943268291806787229e-02
1.000000000000000000e+00 1.210515286553590641e+00 1.267562334859974327e-01
1.000000000000000000e+00 3.297391516338504580e+00 3.624300454109810055e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+00 3.007259512139645707e+00 6.265188823214331570e-01
4.000000000000000000e+00 9.293986565261562305e+00 3.761839416735688335e-01
0.000000000000000000e+00 6.296175044845408131e+00 2.162489318366562496e-01
0.000000000000000000e+00 1.110045695306614455e+00 6.645071831058296796e-02
0.000000000000000000e+00 2.260449608595872739e+00 1.268534763605754234e-01
2.000000000000000000e+00 8.661029463083014690e+00 6.284906164027054265e-01
4.000000000000000000e+00 4.548738481264691380e+00 1.179549970521689639e+00
1.000000000000000000e+00 2.248459261979979473e+00 1.038312780056786511e-01
2.000000000000000000e+00 1.130422489769899386e+01 5.439431106655553405e-01
0.000000000000000000e+00 6.664865707178796228e+00 4.714137789691734692e-01
